"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"When Lana finished school she had a lot of __________.","debt","0.4100","9.56","22","0.62","3.6100","13","24"
"The generous boy always racked up a large __________.","debt","0.3100","9.56","22","0.62","3.2100","13","24"
"The struggling business had a great deal of __________.","debt","0.5800","9.56","22","0.62","2.9000","13","24"
"The fencer ended the fight with a final __________.","blow","0.3100","9.74","10","0.61","3.2000","33","7"
"The wolf blew the house down with one final __________.","blow","0.4600","9.74","10","0.61","2.0800","33","7"
"At the landfill, Fred cut himself on a rusty __________.","nail","0.6600","8.43","34","0.55","1.9200","6","23"
"Nicole hung the wall painting using a small __________.","nail","0.6900","8.43","34","0.55","1.6500","6","23"
"The assistant shouted in pain after stepping on a __________.","nail","0.5000","8.43","34","0.55","2.4800","6","23"
"Use tools to remove the lid from a tin __________.","can","0.9000","14.30","27","0.69","0.7500","1772","27"
"The poor boy stored his earnings in a metal __________.","can","0.3600","14.30","27","0.69","2.8300","1772","27"
"The lazy girl ate soup straight out of the __________.","can","0.8000","14.30","27","0.69","1.0800","1772","27"
"Patrick managed to fix the sink after replacing a __________.","pipe","0.4500","9.41","17","0.61","2.7200","20","17"
"In the evening grandpa smokes using his __________.","pipe","0.9600","9.41","17","0.61","0.3200","20","17"
"The street was flooded, because there was a broken __________.","pipe","0.5000","9.41","17","0.61","2.6000","20","17"
"The rain was quite loud because the roof was __________.","tin","0.6100","9.38","31","0.60","1.4900","12","25"
"While preparing the meal, the chef couldn't find his __________.","knife","0.4100","8.87","9","0.59","3.0800","76","7"
"Be careful not to cut yourself with the __________.","knife","0.8300","8.87","9","0.59","1.0300","76","7"
"While cooking, Luke accidentally cut himself with a __________.","knife","0.9600","8.87","9","0.59","0.3000","76","7"
"The landscaper cleared the lawn of leaves with the __________.","rake","0.5400","6.82","33","0.41","1.3700","11","26"
"The audio was normal but the video had a __________.","glitch","0.3700",\N,\N,\N,"3.6500",\N,\N
"When her contacts lenses are dry her vision will __________.","blur","0.6200","7.40","5","0.49","2.3800","3","3"
"The breeze felt good when it blew along his __________.","face","0.4900","11.26","20","0.68","2.9100","371","18"
"The girl was embarrassed and tried to hide her __________.","face","0.4300","11.26","20","0.68","2.9700","371","18"
"The young woman had a very recognizable __________.","face","0.4400","11.26","20","0.68","2.5900","371","18"
"None of the witnesses could describe the suspect's __________.","face","0.5000","11.26","20","0.68","2.4100","371","18"
"Before going to bed, Kat always washes her __________.","face","0.5900","11.26","20","0.68","1.5300","371","18"
"Billy couldn't believe Max hit him in the __________.","face","0.3300","11.26","20","0.68","3.2500","371","18"
"After straining his head, Arthur felt pain at his __________.","neck","0.6500","9.61","14","0.61","1.5500","81","13"
"The woman had heard him yelling and turned her __________.","head","0.7800","11.60","28","0.69","1.2100","424","22"
"In winter, Matt wore a hat to cover his __________.","head","0.7000","11.60","28","0.69","1.3700","424","22"
"The unstable beam struck the construction worker on the __________.","head","0.6800","11.60","28","0.69","2.1900","424","22"
"Noah started crying when the baseball hit his __________.","head","0.4100","11.60","28","0.69","3.2200","424","22"
"A stray baseball smacked an unsuspecting walker in the __________.","head","0.4500","11.60","28","0.69","2.8200","424","22"
"Bryce didn't like the taste of the apple's __________.","skin","0.4000","10.13","10","0.63","2.7400","47","11"
"Laura jumped up and shouted after burning her __________.","hand","0.5600","11.74","13","0.69","2.0500","431","9"
"Opal's new, short haircut barely covered her __________.","ears","0.4600","9.42","11","0.58","2.5800",\N,\N
"When the bomb detonated, people miles away heard the __________.","blast","0.3300","9.85","3","0.60","2.3400","15","1"
"Tim spoke loudly at the restaurant due to the __________.","noise","0.7600","9.94","10","0.63","1.5400","37","3"
"Chester couldn't hear Amy's voice over the crowded room's __________.","noise","0.5100","9.94","10","0.63","2.8800","37","3"
"I couldn't hear anything because of the __________.","noise","0.6600","9.94","10","0.63","2.2900","37","3"
"While walking through the woods, Preston heard a __________.","noise","0.3200","9.94","10","0.63","3.9000","37","3"
"The man couldn't understand her because of the __________.","noise","0.3300","9.94","10","0.63","3.2100","37","3"
"The cargo at the shipyard fell with a loud __________.","bang","0.3300","8.82","19","0.57","2.2100","7","18"
"The thunderclap shook the tree with a loud __________.","bang","0.4300","8.82","19","0.57","2.6900","7","18"
"When he got to work, the baker prepared fresh __________.","bread","0.6100","9.11","15","0.59","2.4300","42","12"
"The house filled with smells of the freshly baked __________.","bread","0.7200","9.11","15","0.59","1.4300","42","12"
"Spaghetti is the girl's favorite type of __________.","food","0.4900","11.00","18","0.67","1.8000","147","10"
"Sally's persistent cry meant she wanted more __________.","food","0.3700","11.00","18","0.67","2.5700","147","10"
"The farmer's pigs were quickly running out of __________.","food","0.5000","11.00","18","0.67","2.5600","147","10"
"After missing lunch Harry badly needed some __________.","food","0.8400","11.00","18","0.67","1.2000","147","10"
"During the road trip, the family stopped to get __________.","food","0.4000","11.00","18","0.67","2.7500","147","10"
"Katie dislikes the way some animals chew their __________.","food","0.6500","11.00","18","0.67","1.7800","147","10"
"On the road, the family stopped many times for __________.","food","0.3600","11.00","18","0.67","3.1900","147","10"
"Whenever her grandkids visit, Greta prepares lots of __________.","cookies","0.3200","7.86","2","0.49","2.8400",\N,\N
"To stay fit, Jim participates in a basketball __________.","game","0.4200","12.19","19","0.67","2.4800","123","17"
"The announcer said it would be a very close __________.","game","0.3100","12.19","19","0.67","2.2400","123","17"
"Tyler and his opponent shook hands before the __________.","match","0.5800","10.47","20","0.65","2.2500","41","14"
"The rock band celebrated after their first __________.","concert","0.3600","9.40","0","0.65","2.6400","39","0"
"Michael challenged the experienced fencer to a __________.","duel","0.8400","7.43","3","0.57","0.9600",\N,\N
"His pride injured, John challenged Robert to a __________.","duel","0.6200","7.43","3","0.57","1.8100",\N,\N
"Eric was confident and challenged Kevin to a __________.","duel","0.4300","7.43","3","0.57","2.3500",\N,\N
"The two wizards decided to settle things with a __________.","duel","0.5000","7.43","3","0.57","2.6700",\N,\N
"Taylor's leg was tingling due to damage of a __________.","nerve","0.8600","8.34","6","0.57","1.0400","12","5"
"He frowned and she knew she'd definitely struck a __________.","nerve","0.5800","8.34","6","0.57","1.3900","12","5"
"Linda's favorite genres of music were pop and __________.","rock","0.5700","10.70","29","0.67","2.3100","75","20"
"The passengers feared capsizing when the ship began to __________.","rock","0.3600","10.70","29","0.67","3.3200","75","20"
"On a stormy night, the ship captain hit a __________.","rock","0.4200","10.70","29","0.67","3.0800","75","20"
"To support the roof, Laura used a long __________.","pole","0.4200","8.65","34","0.61","2.5900","27","29"
"The tent quickly collapsed after Patrick broke a __________.","pole","0.5300","8.65","34","0.61","2.5900","27","29"
"Jane balled all the bread dough up into a __________.","ball","0.4200","10.56","30","0.66","3.2800","110","21"
"All of the wet paper had rolled into a __________.","ball","0.7300","10.56","30","0.66","1.6600","110","21"
"Tired from studying, Dan crumpled his papers into a __________.","ball","0.8000","10.56","30","0.66","1.1700","110","21"
"Jen wrapped the metal wire into a __________.","ball","0.3200","10.56","30","0.66","3.7500","110","21"
"Jason fell off his skateboard when he hit the __________.","curb","0.3400","7.62","11","0.53","3.4100","13","11"
"After hitting her head Sam had a huge __________.","bump","0.4200","7.89","10","0.49","2.5700","5","8"
"The exhausted hunters returned with a fat __________.","deer","0.4000","8.50","36","0.59","3.5400",\N,\N
"The large animal had antlers like a __________.","deer","0.5900","8.50","36","0.59","1.9000",\N,\N
"The hunter took the antlers from the dead __________.","deer","0.7100","8.50","36","0.59","1.6300",\N,\N
"The fireplace was adorned with the head of a __________.","deer","0.4700","8.50","36","0.59","2.7700",\N,\N
"The men of the family went out to hunt __________.","deer","0.6300","8.50","36","0.59","2.4300",\N,\N
"Due to the dust, the construction workers began to __________.","cough","0.7800","7.70","8","0.48","1.0500","7","7"
"During the campfire, the heavy smoke made Lance __________.","cough","0.7400","7.70","8","0.48","1.8100","7","7"
"He knew Agatha was ill when he heard her __________.","cough","0.6000","7.70","8","0.48","2.5900","7","7"
"They knew Rob was choking because he began to __________.","cough","0.3100","7.70","8","0.48","3.7500","7","7"
"One of the patient's symptoms was a persistent __________.","cough","0.7600","7.70","8","0.48","1.5700","7","7"
"While eating the peanuts Gary began to __________.","choke","0.5700","7.99","16","0.44","2.6300","9","16"
"After swallowing too quickly, Simon began to __________.","choke","0.8200","7.99","16","0.44","0.9800","9","16"
"Young children playing with small toys may potentially __________.","choke","0.6900","7.99","16","0.44","2.2400","9","16"
"The heavy box had both a large volume and __________.","weight","0.3800","10.43","30","0.65","3.3500",\N,\N
"Many women are very conscious of their __________.","weight","0.3200","10.43","30","0.65","2.8200",\N,\N
"The strict Catholic family never misses Sunday __________.","mass","0.7600","10.43","24","0.67","1.1300","110","20"
"Benjamin had trouble parking because the space was __________.","small","0.5600","11.98","3","0.69","2.0700","542","4"
"Jan dropped the lightbulb and it cracked near the __________.","base","0.4700","10.99","21","0.68","3.5600","91","20"
"The manager looked for paper but the supply was __________.","low","0.4100","11.36","30","0.68","2.6000",\N,\N
"The little daughter impatiently gave her shirt a __________.","tug","0.7500","7.07","18","0.56","1.7400","3","18"
"She wasn't certain she'd find him but she would __________.","try","0.8100","12.52","9","0.66","1.1700","140","10"
"James was unable to stand up after he __________.","fell","0.7000","9.73","29","0.67","2.0300","92","25"
"The little boy had been running when he __________.","fell","0.7000","9.73","29","0.67","1.0100","92","25"
"The child scraped his legs after he __________.","fell","0.8800","9.73","29","0.67","0.8500","92","25"
"Everyone in the kitchen was startled when the bowl __________.","fell","0.4700","9.73","29","0.67","2.7600","92","25"
"He thought three dogs wasn't enough so he got __________.","another","0.5000","12.57","0","0.70","1.5800","683","0"
"Elle got behind the stalled car and began to __________.","push","0.8700","9.87","9","0.63","1.0000","37","5"
"His car is huge so it's too heavy to __________.","push","0.4400","9.87","9","0.63","2.1900","37","5"
"The heavy vehicle required five people to __________.","push","0.4800","9.87","9","0.63","2.5100","37","5"
"The heavy door opened with one final __________.","push","0.4200","9.87","9","0.63","3.1500","37","5"
"He wouldn't jump so his sister gave him a __________.","push","0.5200","9.87","9","0.63","2.5900","37","5"
"The heavy box finally moved after one last ____.","push","0.5100","9.87","9","0.63","2.2400","37","5"
"The player tried to move but he still got __________.","hit","0.3900","11.07","31","0.66","3.3700","115","29"
"The parked cars were damaged by the violent __________.","storm","0.7300","9.90","5","0.64","1.5500","26","3"
"After the vandal punctured the water tower, water began to __________.","leak","0.4300","8.55","37","0.55","3.0300","2","31"
"The water in the bag had begun to __________.","leak","0.6800","8.55","37","0.55","2.2400","2","31"
"Due to the leaky bottle, syrup slowly began to __________.","drip","0.3400","7.21","6","0.40","3.1000","1","7"
"The savory soup included the scape of a green __________.","onion","0.3100","7.86","0","0.51","4.2300","15","0"
"Trying to eat healthier, Ashley started eating more __________.","vegetables","0.5100","8.39","0","0.57","2.2800",\N,\N
"Matt preferred to fill his burritos with __________.","beans","0.3600","8.49","16","0.57","2.9100",\N,\N
"The chef thought the chicken breast needed more __________.","seasoning","0.3100","6.04","1","0.43","3.0600",\N,\N
"The grilled steaks had the perfect amount of __________.","seasoning","0.3500","6.04","1","0.43","3.5400",\N,\N
"The chef wanted his steaks to have a good __________.","flavor","0.3800","8.54","0","0.56","2.7600","16","1"
"The kids' favorite type of lunch meat is smoked __________.","ham","0.7000","8.82","33","0.58","1.5300","19","24"
"The best sandwiches have tomatoes, cheddar, and __________.","bacon","0.3600","8.05","5","0.58","2.7400","10","5"
"The rampaging giant squashed their car like a __________.","bug","0.7700","10.38","26","0.57","1.5800","4","25"
"Jason missed work after he caught a stomach __________.","bug","0.4700","10.38","26","0.57","1.7800","4","25"
"The curious cat swatted at the flying __________.","bug","0.3900","10.38","26","0.57","2.9500","4","25"
"The experienced farmer enjoyed working with __________.","animals","0.3300","10.16","0","0.66","4.1400",\N,\N
"The farmer made money from selling his __________.","crops","0.3800","7.69","7","0.59","3.7800",\N,\N
"Bill couldn't fix the car without having the right __________.","tools","0.8300","11.01","14","0.64","0.9000",\N,\N
"Robert could fix the bike if he had the right __________.","tools","0.9100","11.01","14","0.64","0.6800",\N,\N
"The girl's mother was upset she played in the __________.","mud","0.3100","9.35","21","0.59","3.2300","32","19"
"The mother was unhappy that her child played in __________.","mud","0.5700","9.35","21","0.59","2.6800","32","19"
"The boy's mother was angry he had fallen in __________.","mud","0.4200","9.35","21","0.59","3.2300","32","19"
"Dirty and worn, the rain boots were covered in __________.","mud","0.9300","9.35","21","0.59","0.5400","32","19"
"His brand new soccer ball had landed in the __________.","mud","0.3400","9.35","21","0.59","3.8500","32","19"
"The hiker's new boots were stuck in the deep __________.","mud","0.8900","9.35","21","0.59","0.8000","32","19"
"Distracted while driving, Maya got stuck in the sticky __________.","mud","0.4600","9.35","21","0.59","2.9200","32","19"
"The farm worker collected fresh eggs from the __________.","chickens","0.4100","7.46","1","0.54","2.4900",\N,\N
"The mother went to the preschool to pick up her __________.","children","0.4700","11.47","0","0.68","1.8600","355","0"
"Though gruff to his friends, Hank wasn't to his __________.","family","0.3900","11.39","0","0.68","3.3600","331","0"
"Her father said the most important people are your __________.","family","0.6000","11.39","0","0.68","1.6500","331","0"
"The farmer, while organizing, had to move a __________.","tractor","0.3500","7.38","1","0.56","4.1300","24","0"
"The villagers lived their lives as simple __________.","people","0.4000","13.55","4","0.69","2.9300","847","4"
"Tom didn't like being places with a lot of __________.","people","0.7600","13.55","4","0.69","1.3500","847","4"
"To get rid of emotional clutter, Will resolved to __________.","meditate","0.3800","6.69","1","0.35","4.3900","1","0"
"The wound on Jeremy's leg began to __________.","heal","0.4200","8.37","34","0.55","2.4800","11","26"
"The patient's broken arm took awhile to __________.","heal","0.8800","8.37","34","0.55","0.7500","11","26"
"May thought her leg was taking too long to __________.","heal","0.9000","8.37","34","0.55","0.8000","11","26"
"After her injury, Kate took time off work to __________.","heal","0.4200","8.37","34","0.55","2.2700","11","26"
"The scientist hated when the mice would __________.","die","0.4400","11.13","31","0.65","3.2300","73","21"
"While on vacation, Greg didn't expect his plants to __________.","die","0.6000","11.13","31","0.65","2.2200","73","21"
"Richard wanted to lose weight but he hated to __________.","diet","0.5500","9.43","2","0.61","1.4000","21","1"
"As a toddler, when Marcus threw tantrums he would __________.","scream","0.5000","8.91","4","0.56","2.5400","13","4"
"Tom rushed into the room when he heard Ross __________.","scream","0.3900","8.91","4","0.56","2.8000","13","4"
"After moving jobs, Jim wasn't sure where to __________.","live","0.3500","11.76","12","0.68","2.4100","177","13"
"They were pumped to see their favorite band play __________.","live","0.3700","11.76","12","0.68","3.2200","177","13"
"The coffee shop's corner booth was where Nicole always __________.","sat","0.7200","10.41","31","0.62","1.9500","150","28"
"The couch had an indent indicating where Jack __________.","sat","0.7300","10.41","31","0.62","1.6900","150","28"
"Ian's daughter wanted to sit where he always __________.","sat","0.4600","10.41","31","0.62","2.1500","150","28"
"The good Samaritan stood to let the senior __________.","sit","0.6400","10.15","32","0.61","2.0800","67","28"
"Andy reached the curb and told the dog to __________.","sit","0.4200","10.15","32","0.61","2.3100","67","28"
"On the cake, a candle was still __________.","lit","0.5800","8.59","26","0.60","1.3900","17","26"
"The old, established vintage shop was dimly __________.","lit","0.9900","8.59","26","0.60","0.0800","17","26"
"There was nothing to do once the fuse was __________.","lit","0.3900","8.59","26","0.60","2.6800","17","26"
"To avoid waking the others, only one candle was __________.","lit","0.9500","8.59","26","0.60","0.3500","17","26"
"Kevin frowned when he awoke and the light was __________.","on","0.5500","15.08","11","0.70","2.3300",\N,\N
"My favorite place to go during summer is the __________.","beach","0.7000","10.19","21","0.66","1.8600","67","14"
"On vacation, Amy liked to go tanning at the __________.","beach","0.7100","10.19","21","0.66","1.2200","67","14"
"When she thought of summer, Cate thought of the __________.","beach","0.4800","10.19","21","0.66","3.2000","67","14"
"Vicky wanted to tan so she went to the __________.","beach","0.6000","10.19","21","0.66","1.6500","67","14"
"The office worker spends his vacation days at the __________.","beach","0.7100","10.19","21","0.66","1.9700","67","14"
"It was tragic when whales were found on the __________.","beach","0.8400","10.19","21","0.66","0.8900","67","14"
"When it's warm out, Jack likes going to the __________.","beach","0.4200","10.19","21","0.66","2.2100","67","14"
"Lily's favorite part of summer was going to the __________.","beach","0.6300","10.19","21","0.66","2.1900","67","14"
"The sunny weather tempted Sarah to go to the __________.","beach","0.7300","10.19","21","0.66","1.4700","67","14"
"Jacob and his wife liked to take long walks by the __________.","beach","0.3100","10.19","21","0.66","2.9800","67","14"
"It's pleasant to watch the sunset from the __________.","beach","0.3600","10.19","21","0.66","3.7600","67","14"
"Whenever she's stressed, Kim imagines sitting on a __________.","beach","0.5500","10.19","21","0.66","2.9500","67","14"
"Patrick spent long summer afternoons on the __________.","beach","0.5100","10.19","21","0.66","2.7600","67","14"
"His favorite place to relax is on the __________.","beach","0.4100","10.19","21","0.66","2.8500","67","14"
"Over the summer, the boys went swimming at the __________.","lake","0.5000","9.98","31","0.65","2.0200","54","28"
"Mark's favorite spot to fish was a pier by the __________.","lake","0.3400","9.98","31","0.65","3.7400","54","28"
"During the summer time, many kids swim in the __________.","lake","0.4600","9.98","31","0.65","1.8800","54","28"
"During the summer, the children enjoyed swimming in the __________.","pool","0.6400","9.69","24","0.64","1.4800","111","16"
"Timmy couldn't wait to hang out at the __________.","mall","0.3200","8.96","27","0.61","3.1100","3","20"
"The villagers had never ventured out of the __________.","village","0.3200","9.49","2","0.64","3.0100","72","3"
"The famous actress worked hard to be in __________.","movies","0.4000","10.32","1","0.64","3.3600",\N,\N
"The car was similar but it was a different __________.","model","0.4000","11.11","12","0.68","2.1100","77","9"
"Brandon's shiny car was of the latest __________.","model","0.7100","11.11","12","0.68","1.9300","77","9"
"For the pie contest my grandmother was a __________.","winner","0.3300","9.38","9","0.64","3.3600",\N,\N
"The teen said her party had to have a __________.","dj","0.3300",\N,\N,\N,"3.4100",\N,\N
"George felt superior to Kathy, even though she's his __________.","boss","0.5100","9.21","13","0.63","2.8900","20","11"
"Grandmother was so sick that she needed a personal __________.","nurse","0.5400","8.80","10","0.60","2.4800","17","10"
"At the hospital, Elise was attended to by a __________.","nurse","0.6800","8.80","10","0.60","1.2500","17","10"
"The child's blood pressure was taken by the __________.","nurse","0.6700","8.80","10","0.60","1.0200","17","10"
"During the war his mother had been a __________.","nurse","0.6200","8.80","10","0.60","2.7500","17","10"
"Nate doesn't make big decisions before giving them __________.","thought","0.7400","12.07","12","0.69","1.7600","515","9"
"Marcus struggled to build a birdhouse even with the __________.","instructions","0.3900","10.47","0","0.62","3.1400",\N,\N
"No one could leave until the show was finally __________.","over","0.8800","13.02","8","0.70","0.7600","1236","7"
"The sweet grandmother called her helpful, younger neighbor __________.","over","0.3100","13.02","8","0.70","4.4900","1236","7"
"Ava was glad when her day of school was __________.","over","0.7800","13.02","8","0.70","1.5400","1236","7"
"When Kate took the call, she wrote a __________.","note","0.6800","11.79","29","0.68","1.6900","127","24"
"The girl got in trouble trying to pass a __________.","note","0.5200","11.79","29","0.68","2.6900","127","24"
"The unskilled trumpeter always played the wrong __________.","note","0.8100","11.79","29","0.68","1.1000","127","24"
"The pianist was embarrassed she had played the wrong __________.","note","0.5000","11.79","29","0.68","1.9700","127","24"
"When Nancy returned home, all she found was a __________.","note","0.3800","11.79","29","0.68","3.9700","127","24"
"Her father had written so she waited for the __________.","letter","0.4200","10.97","26","0.66","2.8300","145","12"
"Clyde got to class and realized he forgot a __________.","book","0.3900","12.16","20","0.69","2.6100","193","17"
"The fisherman easily put the bait on the __________.","hook","0.9300","9.36","14","0.60","0.5100","5","15"
"To release the fish they had to take it off the __________.","hook","0.7900","9.36","14","0.60","1.5200","5","15"
"After returning home, Sharon hung her jacket on the __________.","hook","0.4300","9.36","14","0.60","2.5400","5","15"
"The fisherman lifted the heavy fish using his sharp __________.","hook","0.5300","9.36","14","0.60","2.3400","5","15"
"To capture butterflies, he set out with a __________.","net","0.9000","11.67","24","0.63","0.7300","34","23"
"To reel in the fish, Angela used a __________.","rod","0.3200","9.88","25","0.62","3.3300","18","18"
"New to fishing, Frank did not use the right __________.","lure","0.3800","8.53","13","0.55","2.5100","7","8"
"When fishing, Reese always used his lucky __________.","lure","0.3200","8.53","13","0.55","2.6300","7","8"
"The fisherman always used a specific type of __________.","lure","0.4200","8.53","13","0.55","2.2300","7","8"
"The fish appeared to have some damage to its __________.","fin","0.6700","8.21","30","0.56","1.5600","3","26"
"Just below the water, Gary could see the shark's __________.","fin","0.6700","8.21","30","0.56","2.0800","3","26"
"The startled swimmer screamed when she saw the shark __________.","fin","0.4000","8.21","30","0.56","3.4200","3","26"
"The dolphin couldn't swim as it had injured its __________.","fin","0.7000","8.21","30","0.56","1.3000","3","26"
"Todd immediately noticed the scar on the orca's __________.","fin","0.3300","8.21","30","0.56","3.2000","3","26"
"The climbers departed when they had all the right __________.","gear","0.4000","9.64","28","0.62","2.5500","26","20"
"Michael cautiously watched the zookeeper feed the __________.","lion","0.3800","8.95","5","0.62","2.8500","17","2"
"The children enjoyed playing in the park with the __________.","dog","0.3700","10.97","9","0.66","3.6500","75","8"
"The frightened children ran from the growling __________.","dog","0.7600","10.97","9","0.66","1.3500","75","8"
"On his nightly walk, Danny got scared by a __________.","dog","0.3300","10.97","9","0.66","3.9200","75","8"
"The child wanted a cat, but instead received a __________.","dog","0.5800","10.97","9","0.66","2.4100","75","8"
"On sunny days, Jake visits the park to walk his __________.","dog","0.9900","10.97","9","0.66","0.0800","75","8"
"Every morning, Ben went for a walk with his __________.","dog","0.8000","10.97","9","0.66","1.3400","75","8"
"The baby's ice cream was snatched up by the __________.","dog","0.4700","10.97","9","0.66","3.2500","75","8"
"Elena was caught off guard by the big __________.","dog","0.4900","10.97","9","0.66","3.4200","75","8"
"Nigel's cat was bothered incessantly by the __________.","dog","0.4300","10.97","9","0.66","3.3100","75","8"
"Kirk's strict mother refused his request to adopt a __________.","dog","0.3100","10.97","9","0.66","2.5000","75","8"
"The Joneses asked me to take care of their __________.","dog","0.3900","10.97","9","0.66","3.1900","75","8"
"She arrived at the house riding a beautiful __________.","horse","0.7100","10.08","13","0.66","1.9100",\N,\N
"The stable was home to Rick's favorite __________.","horse","0.8900","10.08","13","0.66","0.8700",\N,\N
"The camper's food attracted a large mother __________.","bear","0.9600","10.07","34","0.66","0.3200",\N,\N
"While hunting in the mountains, Sean spotted a huge __________.","bear","0.3500","10.07","34","0.66","3.6200",\N,\N
"While hiking in the woods, Chris spotted a large __________.","bear","0.4000","10.07","34","0.66","3.5600",\N,\N
"The campers were startled to see a wild __________.","bear","0.4400","10.07","34","0.66","2.2900",\N,\N
"The girl had yellow eyes like those of a __________.","cat","0.4400","10.56","32","0.65","3.5100","23","30"
"His nephew wanted a dog but not a __________.","cat","0.6900","10.56","32","0.65","1.7400","23","30"
"Although he was allergic, Max wanted to adopt a __________.","cat","0.6600","10.56","32","0.65","1.4400","23","30"
"Eric had bought his dog when it was a __________.","puppy","0.9500","9.05","7","0.50","0.4000","2","5"
"Stella bought the dog when he was a young __________.","puppy","0.9300","9.05","7","0.50","0.4800","2","5"
"While in the basement, Alexis caught and killed a __________.","rat","0.3500","8.91","36","0.59","2.6900","6","31"
"In the city alley, there lives a large __________.","rat","0.4600","8.91","36","0.59","2.5800","6","31"
"The largest animal in the deer family is the __________.","moose","0.3100","8.15","20","0.55","2.4300","1","18"
"While hiking in Canada the couple saw a __________.","moose","0.4900","8.15","20","0.55","1.9200","1","18"
"The woman said every girl should carry __________.","mace","0.5600","7.15","32","0.46","2.8000","1","25"
"A nearby woman sprayed the robber with __________.","mace","0.8000","7.15","32","0.46","1.4400","1","25"
"The clever boy didn't lack intelligence or __________.","wit","0.4000","8.33","27","0.56","4.0800","20","25"
"The writer was known for his satire and sharp __________.","wit","0.8200","8.33","27","0.56","0.9300","20","25"
"The sailor secured the boat with a __________.","rope","0.6400","8.76","30","0.58","1.9000","15","23"
"Her coworkers said Mary was as crazy as a __________.","bat","0.4200","8.78","37","0.60","2.3900","18","33"
"The fans cheered when the baseball player went to __________.","bat","0.5000","8.78","37","0.60","3.2200","18","33"
"Ronald went to the mall to buy a baseball __________.","bat","0.5700","8.78","37","0.60","1.9300","18","33"
"Todd excelled at the baseball game with his new __________.","bat","0.3900","8.78","37","0.60","2.4000","18","33"
"Robert went to the sports store to buy a __________.","bat","0.3300","8.78","37","0.60","3.5800","18","33"
"After his divorce my neighbor became a lonely __________.","man","0.4600","12.15","29","0.69","2.9800","1207","21"
"The ceremony was what changed the boy into a __________.","man","0.9300","12.15","29","0.69","0.5400","1207","21"
"The convenience store was robbed by a small __________.","man","0.3700","12.15","29","0.69","3.2400","1207","21"
"The child looked outside and watched the flying __________.","birds","0.4000","9.58","11","0.62","3.2100",\N,\N
"The woman entered the garden to listen to the __________.","birds","0.6700","9.58","11","0.62","2.1300",\N,\N
"Chuck preferred conversing with the kids than with the __________.","adults","0.8300","9.37","0","0.63","0.9500",\N,\N
"At the beach, the woman enjoyed watching the __________.","waves","0.3600","9.22","13","0.62","3.4300",\N,\N
"The sailors gazed into the distance at the beautiful __________.","sunset","0.4900","8.15","0","0.58","2.9600",\N,\N
"The cowboy enjoyed looking into the distance at the __________.","sunset","0.3500","8.15","0","0.58","3.7000",\N,\N
"In the past, the military only enlisted __________.","men","0.8800","11.50","25","0.69","0.9500","763","22"
"Annie called an exterminator after spotting a __________.","roach","0.4900","6.70","21","0.56","2.5200","2","16"
"His dad already set multiple traps for the __________.","mouse","0.4300","10.54","14","0.61","3.1800","10","12"
"Karen shrieked when she discovered the dead __________.","mouse","0.3600","10.54","14","0.61","2.8600","10","12"
"The husband set multiple traps to catch the pesky __________.","mouse","0.4200","10.54","14","0.61","2.7200","10","12"
"The fat cat lazily swatted at the small __________.","mouse","0.3800","10.54","14","0.61","2.8400","10","12"
"No matter what happened, the optimistic woman had __________.","hope","0.5700","11.92","18","0.67","2.8200","178","19"
"When told he wouldn't walk again, Lewis still had __________.","hope","0.8400","11.92","18","0.67","1.2000","178","19"
"In hardship, the pious nun gained strength from her __________.","faith","0.4800","10.30","11","0.65","3.0600","111","10"
"When at his son Samuel's games, Mark would always __________.","cheer","0.8600","7.55","32","0.53","1.0800","8","25"
"When Joseph scored, Marilyn was always the first to __________.","cheer","0.7200","7.55","32","0.53","1.7500","8","25"
"There were many boos from the audience and one __________.","cheer","0.6200","7.55","32","0.53","2.6700","8","25"
"When the runner finished, the crowd let out a __________.","cheer","0.6500","7.55","32","0.53","1.6200","8","25"
"Many spectators loudly jeered, but one began to __________.","cheer","0.5100","7.55","32","0.53","2.6600","8","25"
"When she retired the CEO would live on a __________.","pension","0.3800","7.68","2","0.57","3.1100","13","4"
"Claire, always frugal, kept her spending on a tight __________.","budget","0.6900","10.31","1","0.64","1.1300","59","1"
"The hikers were tired from climbing up the large __________.","mountain","0.5400","10.46","2","0.66","1.9700","33","1"
"When they got married they purchased their first __________.","house","0.4300","11.55","11","0.69","1.6300","591","6"
"On Martin's street winter themed decorations covered each __________.","house","0.3900","11.55","11","0.69","3.7300","591","6"
"Soon after getting married, Rick purchased his first __________.","house","0.4400","11.55","11","0.69","2.3200","591","6"
"Clay refused to settle down and buy his own __________.","house","0.4700","11.55","11","0.69","2.3200","591","6"
"The new couple did a good job decorating the __________.","house","0.5500","11.55","11","0.69","2.4900","591","6"
"It was tiring to move into the new __________.","house","0.6100","11.55","11","0.69","1.9500","591","6"
"During summer break, the family rented a lake __________.","house","0.6200","11.55","11","0.69","1.3300","591","6"
"Hank was nervous to move into the fraternity __________.","house","0.9000","11.55","11","0.69","0.6900","591","6"
"To hold the bowstring, arrows have a small __________.","notch","0.6000","7.63","10","0.50","2.9400","6","7"
"In Jessica's old dress there was a big __________.","hole","0.4200","10.16","37","0.63","2.2900","367","28"
