display,sentence,target word,cloze probability,Log Hal Frequency,Phonological Neighbors,Semantic Neighborhood Density,Response Entropy,densityA,densityB,full_sentence,iti_dur_ms,trial_dur_ms,ShowProgressBar,randomise_blocks
break,,,,,,,,,,,,,1.0,140
trial,"Because of clouds, it was impossible to see the ",sun,0.64,11.21,31,0.67,2.07,\N,\N,"Because of clouds, it was impossible to see the sun",500.0,10000.0,0.0,140
break,,,,,,,,,,,,,1.0,140
trial,Sarah won't swim if the water is too ,cold,0.72,10.46,23,0.66,1.41,171,11,Sarah won't swim if the water is too cold,500.0,10000.0,0.0,140
end,,,,,,,,,,,,,,140
instructions,,,,,,,,,,,,,,141
trial,Sarah won't swim if the water is too ,cold,0.72,10.46,23,0.66,1.41,171,11,Sarah won't swim if the water is too cold,500.0,10000.0,0.0,141
break,,,,,,,,,,,,,1.0,141
trial,They didn't stop working until the sun had ,set,0.79,12.57,27,0.70,1.37,414,24,They didn't stop working until the sun had set,500.0,10000.0,0.0,141
break,,,,,,,,,,,,,1.0,141
trial,The baker got bored waiting for the pudding to ,set,0.5,12.57,27,0.70,2.76,414,24,The baker got bored waiting for the pudding to set,500.0,10000.0,0.0,141
end,,,,,,,,,,,,,,141
instructions,,,,,,,,,,,,,,142
trial,The baker got bored waiting for the pudding to ,set,0.5,12.57,27,0.70,2.76,414,24,The baker got bored waiting for the pudding to set,500.0,10000.0,0.0,142
break,,,,,,,,,,,,,1.0,142
trial,Holly was sent to a timeout until she calmed ,down,1.0,12.59,19,0.69,0.0,895,17,Holly was sent to a timeout until she calmed down,500.0,10000.0,0.0,142
break,,,,,,,,,,,,,1.0,142
trial,"At the end of dinner, Jason picked up the ",tab,0.4,9.13,14,0.50,2.74,1,15,"At the end of dinner, Jason picked up the tab",500.0,10000.0,0.0,142
end,,,,,,,,,,,,,,142
instructions,,,,,,,,,,,,,,143
trial,"At the end of dinner, Jason picked up the ",tab,0.4,9.13,14,0.50,2.74,1,15,"At the end of dinner, Jason picked up the tab",500.0,10000.0,0.0,143
break,,,,,,,,,,,,,1.0,143
trial,To visit a different site just open a new ,tab,0.47,9.13,14,0.50,2.56,1,15,To visit a different site just open a new tab,500.0,10000.0,0.0,143
break,,,,,,,,,,,,,1.0,143
trial,"For the client dinner, the company will pay the ",bill,0.6,11.67,34,0.68,2.01,143,28,"For the client dinner, the company will pay the bill",500.0,10000.0,0.0,143
end,,,,,,,,,,,,,,143
instructions,,,,,,,,,,,,,,144
trial,"For the client dinner, the company will pay the ",bill,0.6,11.67,34,0.68,2.01,143,28,"For the client dinner, the company will pay the bill",500.0,10000.0,0.0,144
break,,,,,,,,,,,,,1.0,144
trial,"With clothes scattered everywhere, her room was a ",mess,0.91,9.49,21,0.56,0.55,22,17,"With clothes scattered everywhere, her room was a mess",500.0,10000.0,0.0,144
break,,,,,,,,,,,,,1.0,144
trial,Molly hoped that the kids wouldn't make a ,mess,0.44,9.49,21,0.56,1.91,22,17,Molly hoped that the kids wouldn't make a mess,500.0,10000.0,0.0,144
end,,,,,,,,,,,,,,144
instructions,,,,,,,,,,,,,,145
trial,Molly hoped that the kids wouldn't make a ,mess,0.44,9.49,21,0.56,1.91,22,17,Molly hoped that the kids wouldn't make a mess,500.0,10000.0,0.0,145
break,,,,,,,,,,,,,1.0,145
trial,Christine knew she would be coming home to a ,mess,0.65,9.49,21,0.56,2.29,22,17,Christine knew she would be coming home to a mess,500.0,10000.0,0.0,145
break,,,,,,,,,,,,,1.0,145
trial,"A fan of stringed instruments, the musician played the ",violin,0.38,7.86,0,0.59,2.41,11,0,"A fan of stringed instruments, the musician played the violin",500.0,10000.0,0.0,145
end,,,,,,,,,,,,,,145
instructions,,,,,,,,,,,,,,146
trial,"A fan of stringed instruments, the musician played the ",violin,0.38,7.86,0,0.59,2.41,11,0,"A fan of stringed instruments, the musician played the violin",500.0,10000.0,0.0,146
break,,,,,,,,,,,,,1.0,146
trial,Advice can be hard to receive and easy to ,give,0.71,12.35,6,0.69,1.7,391,7,Advice can be hard to receive and easy to give,500.0,10000.0,0.0,146
break,,,,,,,,,,,,,1.0,146
trial,Growing up with three siblings he learned to ,share,0.4,10.96,30,0.67,2.96,98,20,Growing up with three siblings he learned to share,500.0,10000.0,0.0,146
end,,,,,,,,,,,,,,146
instructions,,,,,,,,,,,,,,147
trial,Growing up with three siblings he learned to ,share,0.4,10.96,30,0.67,2.96,98,20,Growing up with three siblings he learned to share,500.0,10000.0,0.0,147
break,,,,,,,,,,,,,1.0,147
trial,Jane borrowed money but could not repay her ,debt,0.48,9.56,22,0.62,2.35,13,24,Jane borrowed money but could not repay her debt,500.0,10000.0,0.0,147
break,,,,,,,,,,,,,1.0,147
trial,When Lana finished school she had a lot of ,debt,0.41,9.56,22,0.62,3.61,13,24,When Lana finished school she had a lot of debt,500.0,10000.0,0.0,147
end,,,,,,,,,,,,,,147
instructions,,,,,,,,,,,,,,148
trial,When Lana finished school she had a lot of ,debt,0.41,9.56,22,0.62,3.61,13,24,When Lana finished school she had a lot of debt,500.0,10000.0,0.0,148
break,,,,,,,,,,,,,1.0,148
trial,The struggling business had a great deal of ,debt,0.58,9.56,22,0.62,2.9,13,24,The struggling business had a great deal of debt,500.0,10000.0,0.0,148
break,,,,,,,,,,,,,1.0,148
trial,The wolf blew the house down with one final ,blow,0.46,9.74,10,0.61,2.08,33,7,The wolf blew the house down with one final blow,500.0,10000.0,0.0,148
end,,,,,,,,,,,,,,148
instructions,,,,,,,,,,,,,,149
trial,The wolf blew the house down with one final ,blow,0.46,9.74,10,0.61,2.08,33,7,The wolf blew the house down with one final blow,500.0,10000.0,0.0,149
break,,,,,,,,,,,,,1.0,149
trial,Nicole hung the wall painting using a small ,nail,0.69,8.43,34,0.55,1.65,6,23,Nicole hung the wall painting using a small nail,500.0,10000.0,0.0,149
break,,,,,,,,,,,,,1.0,149
trial,Use tools to remove the lid from a tin ,can,0.9,14.30,27,0.69,0.75,1772,27,Use tools to remove the lid from a tin can,500.0,10000.0,0.0,149
end,,,,,,,,,,,,,,149
instructions,,,,,,,,,,,,,,150
trial,Use tools to remove the lid from a tin ,can,0.9,14.30,27,0.69,0.75,1772,27,Use tools to remove the lid from a tin can,500.0,10000.0,0.0,150
break,,,,,,,,,,,,,1.0,150
trial,The lazy girl ate soup straight out of the ,can,0.8,14.30,27,0.69,1.08,1772,27,The lazy girl ate soup straight out of the can,500.0,10000.0,0.0,150
break,,,,,,,,,,,,,1.0,150
trial,In the evening grandpa smokes using his ,pipe,0.96,9.41,17,0.61,0.32,20,17,In the evening grandpa smokes using his pipe,500.0,10000.0,0.0,150
end,,,,,,,,,,,,,,150
instructions,,,,,,,,,,,,,,151
trial,In the evening grandpa smokes using his ,pipe,0.96,9.41,17,0.61,0.32,20,17,In the evening grandpa smokes using his pipe,500.0,10000.0,0.0,151
break,,,,,,,,,,,,,1.0,151
trial,The rain was quite loud because the roof was ,tin,0.61,9.38,31,0.60,1.49,12,25,The rain was quite loud because the roof was tin,500.0,10000.0,0.0,151
break,,,,,,,,,,,,,1.0,151
trial,Be careful not to cut yourself with the ,knife,0.83,8.87,9,0.59,1.03,76,7,Be careful not to cut yourself with the knife,500.0,10000.0,0.0,151
end,,,,,,,,,,,,,,151
instructions,,,,,,,,,,,,,,152
trial,Be careful not to cut yourself with the ,knife,0.83,8.87,9,0.59,1.03,76,7,Be careful not to cut yourself with the knife,500.0,10000.0,0.0,152
break,,,,,,,,,,,,,1.0,152
trial,The landscaper cleared the lawn of leaves with the ,rake,0.54,6.82,33,0.41,1.37,11,26,The landscaper cleared the lawn of leaves with the rake,500.0,10000.0,0.0,152
break,,,,,,,,,,,,,1.0,152
trial,When her contacts lenses are dry her vision will ,blur,0.62,7.40,5,0.49,2.38,3,3,When her contacts lenses are dry her vision will blur,500.0,10000.0,0.0,152
end,,,,,,,,,,,,,,152
instructions,,,,,,,,,,,,,,153
trial,When her contacts lenses are dry her vision will ,blur,0.62,7.40,5,0.49,2.38,3,3,When her contacts lenses are dry her vision will blur,500.0,10000.0,0.0,153
break,,,,,,,,,,,,,1.0,153
trial,The girl was embarrassed and tried to hide her ,face,0.43,11.26,20,0.68,2.97,371,18,The girl was embarrassed and tried to hide her face,500.0,10000.0,0.0,153
break,,,,,,,,,,,,,1.0,153
trial,None of the witnesses could describe the suspect's ,face,0.5,11.26,20,0.68,2.41,371,18,None of the witnesses could describe the suspect's face,500.0,10000.0,0.0,153
end,,,,,,,,,,,,,,153
instructions,,,,,,,,,,,,,,154
trial,None of the witnesses could describe the suspect's ,face,0.5,11.26,20,0.68,2.41,371,18,None of the witnesses could describe the suspect's face,500.0,10000.0,0.0,154
break,,,,,,,,,,,,,1.0,154
trial,Billy couldn't believe Max hit him in the ,face,0.33,11.26,20,0.68,3.25,371,18,Billy couldn't believe Max hit him in the face,500.0,10000.0,0.0,154
break,,,,,,,,,,,,,1.0,154
trial,The woman had heard him yelling and turned her ,head,0.78,11.60,28,0.69,1.21,424,22,The woman had heard him yelling and turned her head,500.0,10000.0,0.0,154
end,,,,,,,,,,,,,,154
instructions,,,,,,,,,,,,,,155
trial,The woman had heard him yelling and turned her ,head,0.78,11.60,28,0.69,1.21,424,22,The woman had heard him yelling and turned her head,500.0,10000.0,0.0,155
break,,,,,,,,,,,,,1.0,155
trial,The unstable beam struck the construction worker on the ,head,0.68,11.60,28,0.69,2.19,424,22,The unstable beam struck the construction worker on the head,500.0,10000.0,0.0,155
break,,,,,,,,,,,,,1.0,155
trial,A stray baseball smacked an unsuspecting walker in the ,head,0.45,11.60,28,0.69,2.82,424,22,A stray baseball smacked an unsuspecting walker in the head,500.0,10000.0,0.0,155
end,,,,,,,,,,,,,,155
instructions,,,,,,,,,,,,,,156
trial,A stray baseball smacked an unsuspecting walker in the ,head,0.45,11.60,28,0.69,2.82,424,22,A stray baseball smacked an unsuspecting walker in the head,500.0,10000.0,0.0,156
break,,,,,,,,,,,,,1.0,156
trial,Laura jumped up and shouted after burning her ,hand,0.56,11.74,13,0.69,2.05,431,9,Laura jumped up and shouted after burning her hand,500.0,10000.0,0.0,156
break,,,,,,,,,,,,,1.0,156
trial,"When the bomb detonated, people miles away heard the ",blast,0.33,9.85,3,0.60,2.34,15,1,"When the bomb detonated, people miles away heard the blast",500.0,10000.0,0.0,156
end,,,,,,,,,,,,,,156
instructions,,,,,,,,,,,,,,157
trial,"When the bomb detonated, people miles away heard the ",blast,0.33,9.85,3,0.60,2.34,15,1,"When the bomb detonated, people miles away heard the blast",500.0,10000.0,0.0,157
break,,,,,,,,,,,,,1.0,157
trial,Chester couldn't hear Amy's voice over the crowded room's ,noise,0.51,9.94,10,0.63,2.88,37,3,Chester couldn't hear Amy's voice over the crowded room's noise,500.0,10000.0,0.0,157
break,,,,,,,,,,,,,1.0,157
trial,"While walking through the woods, Preston heard a ",noise,0.32,9.94,10,0.63,3.9,37,3,"While walking through the woods, Preston heard a noise",500.0,10000.0,0.0,157
end,,,,,,,,,,,,,,157
instructions,,,,,,,,,,,,,,158
trial,"While walking through the woods, Preston heard a ",noise,0.32,9.94,10,0.63,3.9,37,3,"While walking through the woods, Preston heard a noise",500.0,10000.0,0.0,158
break,,,,,,,,,,,,,1.0,158
trial,The cargo at the shipyard fell with a loud ,bang,0.33,8.82,19,0.57,2.21,7,18,The cargo at the shipyard fell with a loud bang,500.0,10000.0,0.0,158
break,,,,,,,,,,,,,1.0,158
trial,"When he got to work, the baker prepared fresh ",bread,0.61,9.11,15,0.59,2.43,42,12,"When he got to work, the baker prepared fresh bread",500.0,10000.0,0.0,158
end,,,,,,,,,,,,,,158
instructions,,,,,,,,,,,,,,159
trial,"When he got to work, the baker prepared fresh ",bread,0.61,9.11,15,0.59,2.43,42,12,"When he got to work, the baker prepared fresh bread",500.0,10000.0,0.0,159
break,,,,,,,,,,,,,1.0,159
trial,Spaghetti is the girl's favorite type of ,food,0.49,11.00,18,0.67,1.8,147,10,Spaghetti is the girl's favorite type of food,500.0,10000.0,0.0,159
break,,,,,,,,,,,,,1.0,159
trial,The farmer's pigs were quickly running out of ,food,0.5,11.00,18,0.67,2.56,147,10,The farmer's pigs were quickly running out of food,500.0,10000.0,0.0,159
end,,,,,,,,,,,,,,159
instructions,,,,,,,,,,,,,,160
trial,The farmer's pigs were quickly running out of ,food,0.5,11.00,18,0.67,2.56,147,10,The farmer's pigs were quickly running out of food,500.0,10000.0,0.0,160
break,,,,,,,,,,,,,1.0,160
trial,"During the road trip, the family stopped to get ",food,0.4,11.00,18,0.67,2.75,147,10,"During the road trip, the family stopped to get food",500.0,10000.0,0.0,160
break,,,,,,,,,,,,,1.0,160
trial,"On the road, the family stopped many times for ",food,0.36,11.00,18,0.67,3.19,147,10,"On the road, the family stopped many times for food",500.0,10000.0,0.0,160
end,,,,,,,,,,,,,,160
instructions,,,,,,,,,,,,,,161
trial,"On the road, the family stopped many times for ",food,0.36,11.00,18,0.67,3.19,147,10,"On the road, the family stopped many times for food",500.0,10000.0,0.0,161
break,,,,,,,,,,,,,1.0,161
trial,"To stay fit, Jim participates in a basketball ",game,0.42,12.19,19,0.67,2.48,123,17,"To stay fit, Jim participates in a basketball game",500.0,10000.0,0.0,161
break,,,,,,,,,,,,,1.0,161
trial,Tyler and his opponent shook hands before the ,match,0.58,10.47,20,0.65,2.25,41,14,Tyler and his opponent shook hands before the match,500.0,10000.0,0.0,161
end,,,,,,,,,,,,,,161
instructions,,,,,,,,,,,,,,162
trial,Tyler and his opponent shook hands before the ,match,0.58,10.47,20,0.65,2.25,41,14,Tyler and his opponent shook hands before the match,500.0,10000.0,0.0,162
break,,,,,,,,,,,,,1.0,162
trial,Michael challenged the experienced fencer to a ,duel,0.84,7.43,3,0.57,0.96,\N,\N,Michael challenged the experienced fencer to a duel,500.0,10000.0,0.0,162
break,,,,,,,,,,,,,1.0,162
trial,Eric was confident and challenged Kevin to a ,duel,0.43,7.43,3,0.57,2.35,\N,\N,Eric was confident and challenged Kevin to a duel,500.0,10000.0,0.0,162
end,,,,,,,,,,,,,,162
instructions,,,,,,,,,,,,,,163
trial,Eric was confident and challenged Kevin to a ,duel,0.43,7.43,3,0.57,2.35,\N,\N,Eric was confident and challenged Kevin to a duel,500.0,10000.0,0.0,163
break,,,,,,,,,,,,,1.0,163
trial,Taylor's leg was tingling due to damage of a ,nerve,0.86,8.34,6,0.57,1.04,12,5,Taylor's leg was tingling due to damage of a nerve,500.0,10000.0,0.0,163
break,,,,,,,,,,,,,1.0,163
trial,Linda's favorite genres of music were pop and ,rock,0.57,10.70,29,0.67,2.31,75,20,Linda's favorite genres of music were pop and rock,500.0,10000.0,0.0,163
end,,,,,,,,,,,,,,163
instructions,,,,,,,,,,,,,,164
trial,Linda's favorite genres of music were pop and ,rock,0.57,10.70,29,0.67,2.31,75,20,Linda's favorite genres of music were pop and rock,500.0,10000.0,0.0,164
break,,,,,,,,,,,,,1.0,164
trial,"On a stormy night, the ship captain hit a ",rock,0.42,10.70,29,0.67,3.08,75,20,"On a stormy night, the ship captain hit a rock",500.0,10000.0,0.0,164
break,,,,,,,,,,,,,1.0,164
trial,The tent quickly collapsed after Patrick broke a ,pole,0.53,8.65,34,0.61,2.59,27,29,The tent quickly collapsed after Patrick broke a pole,500.0,10000.0,0.0,164
end,,,,,,,,,,,,,,164
instructions,,,,,,,,,,,,,,165
trial,The tent quickly collapsed after Patrick broke a ,pole,0.53,8.65,34,0.61,2.59,27,29,The tent quickly collapsed after Patrick broke a pole,500.0,10000.0,0.0,165
break,,,,,,,,,,,,,1.0,165
trial,All of the wet paper had rolled into a ,ball,0.73,10.56,30,0.66,1.66,110,21,All of the wet paper had rolled into a ball,500.0,10000.0,0.0,165
break,,,,,,,,,,,,,1.0,165
trial,Jen wrapped the metal wire into a ,ball,0.32,10.56,30,0.66,3.75,110,21,Jen wrapped the metal wire into a ball,500.0,10000.0,0.0,165
end,,,,,,,,,,,,,,165
instructions,,,,,,,,,,,,,,166
trial,Jen wrapped the metal wire into a ,ball,0.32,10.56,30,0.66,3.75,110,21,Jen wrapped the metal wire into a ball,500.0,10000.0,0.0,166
break,,,,,,,,,,,,,1.0,166
trial,After hitting her head Sam had a huge ,bump,0.42,7.89,10,0.49,2.57,5,8,After hitting her head Sam had a huge bump,500.0,10000.0,0.0,166
break,,,,,,,,,,,,,1.0,166
trial,The large animal had antlers like a ,deer,0.59,8.50,36,0.59,1.9,\N,\N,The large animal had antlers like a deer,500.0,10000.0,0.0,166
end,,,,,,,,,,,,,,166
instructions,,,,,,,,,,,,,,167
trial,The large animal had antlers like a ,deer,0.59,8.50,36,0.59,1.9,\N,\N,The large animal had antlers like a deer,500.0,10000.0,0.0,167
break,,,,,,,,,,,,,1.0,167
trial,The fireplace was adorned with the head of a ,deer,0.47,8.50,36,0.59,2.77,\N,\N,The fireplace was adorned with the head of a deer,500.0,10000.0,0.0,167
break,,,,,,,,,,,,,1.0,167
trial,"Due to the dust, the construction workers began to ",cough,0.78,7.70,8,0.48,1.05,7,7,"Due to the dust, the construction workers began to cough",500.0,10000.0,0.0,167
end,,,,,,,,,,,,,,167
instructions,,,,,,,,,,,,,,168
trial,"Due to the dust, the construction workers began to ",cough,0.78,7.70,8,0.48,1.05,7,7,"Due to the dust, the construction workers began to cough",500.0,10000.0,0.0,168
break,,,,,,,,,,,,,1.0,168
trial,He knew Agatha was ill when he heard her ,cough,0.6,7.70,8,0.48,2.59,7,7,He knew Agatha was ill when he heard her cough,500.0,10000.0,0.0,168
break,,,,,,,,,,,,,1.0,168
trial,One of the patient's symptoms was a persistent ,cough,0.76,7.70,8,0.48,1.57,7,7,One of the patient's symptoms was a persistent cough,500.0,10000.0,0.0,168
end,,,,,,,,,,,,,,168
instructions,,,,,,,,,,,,,,169
trial,One of the patient's symptoms was a persistent ,cough,0.76,7.70,8,0.48,1.57,7,7,One of the patient's symptoms was a persistent cough,500.0,10000.0,0.0,169
break,,,,,,,,,,,,,1.0,169
trial,"After swallowing too quickly, Simon began to ",choke,0.82,7.99,16,0.44,0.98,9,16,"After swallowing too quickly, Simon began to choke",500.0,10000.0,0.0,169
break,,,,,,,,,,,,,1.0,169
trial,The heavy box had both a large volume and ,weight,0.38,10.43,30,0.65,3.35,\N,\N,The heavy box had both a large volume and weight,500.0,10000.0,0.0,169
end,,,,,,,,,,,,,,169
instructions,,,,,,,,,,,,,,170
trial,The heavy box had both a large volume and ,weight,0.38,10.43,30,0.65,3.35,\N,\N,The heavy box had both a large volume and weight,500.0,10000.0,0.0,170
break,,,,,,,,,,,,,1.0,170
trial,The strict Catholic family never misses Sunday ,mass,0.76,10.43,24,0.67,1.13,110,20,The strict Catholic family never misses Sunday mass,500.0,10000.0,0.0,170
break,,,,,,,,,,,,,1.0,170
trial,Jan dropped the lightbulb and it cracked near the ,base,0.47,10.99,21,0.68,3.56,91,20,Jan dropped the lightbulb and it cracked near the base,500.0,10000.0,0.0,170
end,,,,,,,,,,,,,,170
instructions,,,,,,,,,,,,,,171
trial,Jan dropped the lightbulb and it cracked near the ,base,0.47,10.99,21,0.68,3.56,91,20,Jan dropped the lightbulb and it cracked near the base,500.0,10000.0,0.0,171
break,,,,,,,,,,,,,1.0,171
trial,The little daughter impatiently gave her shirt a ,tug,0.75,7.07,18,0.56,1.74,3,18,The little daughter impatiently gave her shirt a tug,500.0,10000.0,0.0,171
break,,,,,,,,,,,,,1.0,171
trial,James was unable to stand up after he ,fell,0.7,9.73,29,0.67,2.03,92,25,James was unable to stand up after he fell,500.0,10000.0,0.0,171
end,,,,,,,,,,,,,,171
instructions,,,,,,,,,,,,,,172
trial,James was unable to stand up after he ,fell,0.7,9.73,29,0.67,2.03,92,25,James was unable to stand up after he fell,500.0,10000.0,0.0,172
break,,,,,,,,,,,,,1.0,172
trial,The child scraped his legs after he ,fell,0.88,9.73,29,0.67,0.85,92,25,The child scraped his legs after he fell,500.0,10000.0,0.0,172
break,,,,,,,,,,,,,1.0,172
trial,He thought three dogs wasn't enough so he got ,another,0.5,12.57,0,0.70,1.58,683,0,He thought three dogs wasn't enough so he got another,500.0,10000.0,0.0,172
end,,,,,,,,,,,,,,172
instructions,,,,,,,,,,,,,,173
trial,He thought three dogs wasn't enough so he got ,another,0.5,12.57,0,0.70,1.58,683,0,He thought three dogs wasn't enough so he got another,500.0,10000.0,0.0,173
break,,,,,,,,,,,,,1.0,173
trial,His car is huge so it's too heavy to ,push,0.44,9.87,9,0.63,2.19,37,5,His car is huge so it's too heavy to push,500.0,10000.0,0.0,173
break,,,,,,,,,,,,,1.0,173
trial,The heavy door opened with one final ,push,0.42,9.87,9,0.63,3.15,37,5,The heavy door opened with one final push,500.0,10000.0,0.0,173
end,,,,,,,,,,,,,,173
instructions,,,,,,,,,,,,,,174
trial,The heavy door opened with one final ,push,0.42,9.87,9,0.63,3.15,37,5,The heavy door opened with one final push,500.0,10000.0,0.0,174
break,,,,,,,,,,,,,1.0,174
trial,The heavy box finally moved after one last ,push,0.51,9.87,9,0.63,2.24,37,5,The heavy box finally moved after one last push,500.0,10000.0,0.0,174
break,,,,,,,,,,,,,1.0,174
trial,The parked cars were damaged by the violent ,storm,0.73,9.90,5,0.64,1.55,26,3,The parked cars were damaged by the violent storm,500.0,10000.0,0.0,174
end,,,,,,,,,,,,,,174
instructions,,,,,,,,,,,,,,175
trial,The parked cars were damaged by the violent ,storm,0.73,9.90,5,0.64,1.55,26,3,The parked cars were damaged by the violent storm,500.0,10000.0,0.0,175
break,,,,,,,,,,,,,1.0,175
trial,The water in the bag had begun to ,leak,0.68,8.55,37,0.55,2.24,2,31,The water in the bag had begun to leak,500.0,10000.0,0.0,175
break,,,,,,,,,,,,,1.0,175
trial,The savory soup included the scape of a green ,onion,0.31,7.86,0,0.51,4.23,15,0,The savory soup included the scape of a green onion,500.0,10000.0,0.0,175
end,,,,,,,,,,,,,,175
instructions,,,,,,,,,,,,,,176
trial,The savory soup included the scape of a green ,onion,0.31,7.86,0,0.51,4.23,15,0,The savory soup included the scape of a green onion,500.0,10000.0,0.0,176
break,,,,,,,,,,,,,1.0,176
trial,Matt preferred to fill his burritos with ,beans,0.36,8.49,16,0.57,2.91,\N,\N,Matt preferred to fill his burritos with beans,500.0,10000.0,0.0,176
break,,,,,,,,,,,,,1.0,176
trial,The grilled steaks had the perfect amount of ,seasoning,0.35,6.04,1,0.43,3.54,\N,\N,The grilled steaks had the perfect amount of seasoning,500.0,10000.0,0.0,176
end,,,,,,,,,,,,,,176
instructions,,,,,,,,,,,,,,177
trial,The grilled steaks had the perfect amount of ,seasoning,0.35,6.04,1,0.43,3.54,\N,\N,The grilled steaks had the perfect amount of seasoning,500.0,10000.0,0.0,177
break,,,,,,,,,,,,,1.0,177
trial,The kids' favorite type of lunch meat is smoked ,ham,0.7,8.82,33,0.58,1.53,19,24,The kids' favorite type of lunch meat is smoked ham,500.0,10000.0,0.0,177
break,,,,,,,,,,,,,1.0,177
trial,The rampaging giant squashed their car like a ,bug,0.77,10.38,26,0.57,1.58,4,25,The rampaging giant squashed their car like a bug,500.0,10000.0,0.0,177
end,,,,,,,,,,,,,,177
instructions,,,,,,,,,,,,,,178
trial,The rampaging giant squashed their car like a ,bug,0.77,10.38,26,0.57,1.58,4,25,The rampaging giant squashed their car like a bug,500.0,10000.0,0.0,178
break,,,,,,,,,,,,,1.0,178
trial,The curious cat swatted at the flying ,bug,0.39,10.38,26,0.57,2.95,4,25,The curious cat swatted at the flying bug,500.0,10000.0,0.0,178
break,,,,,,,,,,,,,1.0,178
trial,The farmer made money from selling his ,crops,0.38,7.69,7,0.59,3.78,\N,\N,The farmer made money from selling his crops,500.0,10000.0,0.0,178
end,,,,,,,,,,,,,,178
instructions,,,,,,,,,,,,,,179
trial,The farmer made money from selling his ,crops,0.38,7.69,7,0.59,3.78,\N,\N,The farmer made money from selling his crops,500.0,10000.0,0.0,179
break,,,,,,,,,,,,,1.0,179
trial,Robert could fix the bike if he had the right ,tools,0.91,11.01,14,0.64,0.68,\N,\N,Robert could fix the bike if he had the right tools,500.0,10000.0,0.0,179
break,,,,,,,,,,,,,1.0,179
trial,The mother was unhappy that her child played in ,mud,0.57,9.35,21,0.59,2.68,32,19,The mother was unhappy that her child played in mud,500.0,10000.0,0.0,179
end,,,,,,,,,,,,,,179
instructions,,,,,,,,,,,,,,180
trial,The mother was unhappy that her child played in ,mud,0.57,9.35,21,0.59,2.68,32,19,The mother was unhappy that her child played in mud,500.0,10000.0,0.0,180
break,,,,,,,,,,,,,1.0,180
trial,"Dirty and worn, the rain boots were covered in ",mud,0.93,9.35,21,0.59,0.54,32,19,"Dirty and worn, the rain boots were covered in mud",500.0,10000.0,0.0,180
break,,,,,,,,,,,,,1.0,180
trial,The hiker's new boots were stuck in the deep ,mud,0.89,9.35,21,0.59,0.8,32,19,The hiker's new boots were stuck in the deep mud,500.0,10000.0,0.0,180
end,,,,,,,,,,,,,,180
instructions,,,,,,,,,,,,,,181
trial,The hiker's new boots were stuck in the deep ,mud,0.89,9.35,21,0.59,0.8,32,19,The hiker's new boots were stuck in the deep mud,500.0,10000.0,0.0,181
break,,,,,,,,,,,,,1.0,181
trial,The farm worker collected fresh eggs from the ,chickens,0.41,7.46,1,0.54,2.49,\N,\N,The farm worker collected fresh eggs from the chickens,500.0,10000.0,0.0,181
break,,,,,,,,,,,,,1.0,181
trial,"Though gruff to his friends, Hank wasn't to his ",family,0.39,11.39,0,0.68,3.36,331,0,"Though gruff to his friends, Hank wasn't to his family",500.0,10000.0,0.0,181
end,,,,,,,,,,,,,,181
instructions,,,,,,,,,,,,,,182
trial,"Though gruff to his friends, Hank wasn't to his ",family,0.39,11.39,0,0.68,3.36,331,0,"Though gruff to his friends, Hank wasn't to his family",500.0,10000.0,0.0,182
break,,,,,,,,,,,,,1.0,182
trial,"The farmer, while organizing, had to move a ",tractor,0.35,7.38,1,0.56,4.13,24,0,"The farmer, while organizing, had to move a tractor",500.0,10000.0,0.0,182
break,,,,,,,,,,,,,1.0,182
trial,Tom didn't like being places with a lot of ,people,0.76,13.55,4,0.69,1.35,847,4,Tom didn't like being places with a lot of people,500.0,10000.0,0.0,182
end,,,,,,,,,,,,,,182
instructions,,,,,,,,,,,,,,183
trial,Tom didn't like being places with a lot of ,people,0.76,13.55,4,0.69,1.35,847,4,Tom didn't like being places with a lot of people,500.0,10000.0,0.0,183
break,,,,,,,,,,,,,1.0,183
trial,The wound on Jeremy's leg began to ,heal,0.42,8.37,34,0.55,2.48,11,26,The wound on Jeremy's leg began to heal,500.0,10000.0,0.0,183
break,,,,,,,,,,,,,1.0,183
trial,May thought her leg was taking too long to ,heal,0.9,8.37,34,0.55,0.8,11,26,May thought her leg was taking too long to heal,500.0,10000.0,0.0,183
end,,,,,,,,,,,,,,183
instructions,,,,,,,,,,,,,,184
trial,May thought her leg was taking too long to ,heal,0.9,8.37,34,0.55,0.8,11,26,May thought her leg was taking too long to heal,500.0,10000.0,0.0,184
break,,,,,,,,,,,,,1.0,184
trial,The scientist hated when the mice would ,die,0.44,11.13,31,0.65,3.23,73,21,The scientist hated when the mice would die,500.0,10000.0,0.0,184
break,,,,,,,,,,,,,1.0,184
trial,Richard wanted to lose weight but he hated to ,diet,0.55,9.43,2,0.61,1.4,21,1,Richard wanted to lose weight but he hated to diet,500.0,10000.0,0.0,184
end,,,,,,,,,,,,,,184
instructions,,,,,,,,,,,,,,185
trial,Richard wanted to lose weight but he hated to ,diet,0.55,9.43,2,0.61,1.4,21,1,Richard wanted to lose weight but he hated to diet,500.0,10000.0,0.0,185
break,,,,,,,,,,,,,1.0,185
trial,Tom rushed into the room when he heard Ross ,scream,0.39,8.91,4,0.56,2.8,13,4,Tom rushed into the room when he heard Ross scream,500.0,10000.0,0.0,185
